X,Y,cell_label,theoretical_range,risk_category,n,n_projected
1,1,4,4,Critically At Risk,317,317
2,1,6,5-7,At Risk,0,14
3,1,8,8-11,Potentially Vulnerable,0,1
4,1,10,8-11,Potentially Vulnerable,0,40
1,2,6,5-7,At Risk,0,4
2,2,8,8-11,Potentially Vulnerable,0,7
3,2,10,8-11,Potentially Vulnerable,0,6
4,2,12,12-15,"Stable, Low Concern",0,32
1,3,8,8-11,Potentially Vulnerable,0,0
2,3,10,8-11,Potentially Vulnerable,0,6
3,3,12,12-15,"Stable, Low Concern",0,4
4,3,14,12-15,"Stable, Low Concern",0,30
1,4,10,8-11,Potentially Vulnerable,0,1
2,4,12,12-15,"Stable, Low Concern",0,0
3,4,14,12-15,"Stable, Low Concern",0,4
4,4,16,16,Secure,0,255
